,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[43525],-0.674052,0.00297157,0.213278,0.205688,-1.05901,-0.648831,-0.370361,5574.93,2934.85,6.66677,1.00069
log_lik[43526],-0.667567,0.00287961,0.206554,0.206536,-1.03766,-0.646732,-0.366114,5423.46,2488.6,6.48564,1.00076
log_lik[43527],-0.7256,0.00105782,0.0787668,0.0788371,-0.863952,-0.721552,-0.602382,5590.85,2669.92,6.68582,0.999939
log_lik[43528],-0.6883,0.0029653,0.211202,0.203936,-1.06853,-0.666753,-0.388559,5502.63,2630.96,6.58032,1.0004
log_lik[43529],-0.534011,0.00191246,0.146251,0.142615,-0.796086,-0.521265,-0.31624,6050.48,2626.38,7.23546,1.00296
log_lik[43530],-0.499157,0.00242093,0.169076,0.160615,-0.797202,-0.475702,-0.266315,5092.67,2889.92,6.09006,1.00246
log_lik[43531],-0.663904,0.00236212,0.17717,0.171548,-0.983104,-0.650945,-0.405957,6039.94,2620.55,7.22286,1.00036
log_lik[43532],-0.745151,0.00159642,0.119187,0.118555,-0.958594,-0.735509,-0.563462,5759.81,2961.19,6.88786,1.00021
log_lik[43533],-0.684758,0.00299697,0.20549,0.197591,-1.05508,-0.665097,-0.391046,5065.93,2632.84,6.05809,1.0009
log_lik[43534],-0.738041,0.00335839,0.22819,0.224043,-1.14474,-0.709728,-0.410344,4804.33,2481.57,5.74525,0.999782
log_lik[43535],-0.654665,0.00303631,0.221312,0.214828,-1.05997,-0.631588,-0.334684,5507.78,2812.75,6.58647,1.00159
log_lik[43536],-0.671718,0.00277159,0.220228,0.217706,-1.06577,-0.643455,-0.353487,6594.61,2897.12,7.88615,1.00015
log_lik[43537],-0.805405,0.00351917,0.242541,0.239463,-1.2355,-0.781859,-0.457387,5201.04,2571.66,6.21966,1.00038
log_lik[43538],-0.566946,0.00222852,0.15056,0.145938,-0.834314,-0.551449,-0.347278,4726.81,2793.85,5.65255,1.00088
log_lik[43539],-0.704035,0.00297604,0.212217,0.209394,-1.09988,-0.680654,-0.398868,5221.65,2880.0,6.2443,1.00149
log_lik[43540],-0.769854,0.0030926,0.217521,0.216798,-1.15834,-0.745277,-0.455597,5247.67,3018.53,6.27542,1.00112
log_lik[43541],-0.4755,0.000402844,0.0303795,0.0306005,-0.525802,-0.475043,-0.426553,5642.11,2484.82,6.74711,1.00171
log_lik[43542],-0.618136,0.00279131,0.197503,0.186634,-0.975002,-0.595569,-0.332943,5211.07,2518.87,6.23166,1.00208
log_lik[43543],-0.576369,0.00190428,0.132108,0.12673,-0.813871,-0.563796,-0.377965,5115.43,2823.56,6.11728,1.0007
log_lik[43544],-0.794453,0.0027883,0.205138,0.201898,-1.16476,-0.776896,-0.49196,5563.81,2758.96,6.65347,1.00015
log_lik[43545],-0.709564,0.0029313,0.228498,0.225444,-1.11479,-0.684436,-0.380101,6777.73,2556.79,8.10514,1.00651
log_lik[43546],-1.05025,0.00145304,0.116803,0.114821,-1.25168,-1.04805,-0.862312,6560.78,2982.8,7.8457,1.00053
log_lik[43547],-0.504054,0.00284713,0.177519,0.164475,-0.837235,-0.478252,-0.255431,4295.15,2601.21,5.13635,1.00525
log_lik[43548],-0.783549,0.00158671,0.118188,0.122332,-0.985664,-0.778598,-0.597894,5646.05,2604.98,6.75183,1.00126
log_lik[43549],-0.90546,0.00133165,0.0986893,0.0986978,-1.0799,-0.90298,-0.752228,5554.32,3013.83,6.64212,1.00096
log_lik[43550],-0.644782,0.00168564,0.122635,0.119766,-0.860623,-0.636799,-0.455875,5437.65,2470.99,6.50261,1.00067
log_lik[43551],-0.504107,0.00283358,0.177286,0.164807,-0.837932,-0.479125,-0.255385,4318.12,2583.42,5.16382,1.00548
log_lik[43552],-0.848517,0.00288743,0.207582,0.211178,-1.20497,-0.830061,-0.542968,5592.79,2382.51,6.68813,1.00057
log_lik[43553],-0.64315,0.00259102,0.205408,0.205687,-1.00906,-0.615552,-0.351378,6562.08,2979.62,7.84725,1.00098
log_lik[43554],-0.607796,0.00292625,0.206812,0.196969,-0.979494,-0.583593,-0.316428,5323.95,2574.48,6.36664,1.00246
log_lik[43555],-0.73058,0.00363029,0.24184,0.245627,-1.17355,-0.708268,-0.376292,4558.65,2857.88,5.45146,1.00175
log_lik[43556],-0.722285,0.00306098,0.217199,0.21112,-1.12047,-0.698215,-0.406929,5351.07,2726.35,6.39907,1.00174
log_lik[43557],-0.682909,0.00304168,0.22446,0.219155,-1.10399,-0.656391,-0.361902,5693.09,2568.7,6.80807,1.0011
log_lik[43558],-0.441247,0.00207268,0.146196,0.143848,-0.708178,-0.425602,-0.232462,5231.15,2563.13,6.25566,1.00269
log_lik[43559],-0.718935,0.00291255,0.230236,0.221021,-1.13916,-0.693205,-0.387591,6245.0,2983.08,7.46808,1.00145
log_lik[43560],-0.488319,0.0019167,0.13093,0.128598,-0.719722,-0.475205,-0.298693,5075.48,2361.5,6.06951,1.00123
log_lik[43561],-0.500096,0.00221484,0.16234,0.156899,-0.794572,-0.480405,-0.270447,5565.84,2461.07,6.6559,1.00102
log_lik[43562],-0.677854,0.0030666,0.217977,0.216309,-1.07732,-0.65084,-0.368063,5447.12,2959.23,6.51394,1.00119
